,customer_id,first_order_date,total_orders,total_revenue
0,12347.0,2010-10-31 14:20:00,1,38.25
1,12349.0,2010-04-29 13:20:00,3,994.45
2,12351.0,2010-11-29 15:23:00,1,12.75
3,12352.0,2010-11-29 10:07:00,1,12.75
4,12355.0,2010-05-21 11:59:00,1,19.9
5,12356.0,2010-10-11 09:42:00,3,1489.6299999999999
6,12357.0,2010-11-16 10:05:00,2,1645.95
7,12358.0,2009-12-08 07:59:00,2,365.8
8,12359.0,2009-12-05 13:32:00,5,724.6
9,12360.0,2010-03-24 10:39:00,3,280.0
10,12361.0,2010-01-26 14:37:00,3,45.0
11,12362.0,2009-12-01 10:10:00,1,130.0
12,12368.0,2010-03-21 15:56:00,1,356.7
13,12369.0,2010-03-08 08:09:00,3,331.70000000000005
14,12370.0,2010-02-09 09:41:00,3,299.7
15,12371.0,2010-03-04 18:23:00,3,391.8
16,12373.0,2010-02-04 12:08:00,2,229.0
17,12374.0,2010-10-14 10:16:00,2,307.4
18,12376.0,2010-10-18 08:42:00,2,120.0
19,12377.0,2010-11-23 19:24:00,1,147.8
20,12378.0,2010-05-26 14:07:00,1,273.65
21,12379.0,2010-06-23 12:49:00,2,94.9
22,12380.0,2010-02-15 12:05:00,7,2796.75
23,12385.0,2010-11-25 15:14:00,1,534.3
24,12387.0,2010-10-20 16:27:00,1,33.9
25,12389.0,2010-05-21 15:12:00,1,19.9
26,12391.0,2010-02-15 10:12:00,3,650.2
27,12392.0,2010-04-27 14:04:00,1,37.8
28,12393.0,2010-11-22 16:10:00,1,33.65
29,12395.0,2010-04-16 10:16:00,4,295.5
30,12396.0,2010-02-03 13:22:00,1,47.849999999999994
31,12399.0,2010-03-05 08:45:00,3,45.0
32,12402.0,2010-02-07 12:41:00,5,102.75
33,12403.0,2010-07-06 11:39:00,1,36.0
34,12404.0,2010-01-26 16:25:00,1,63.24
35,12406.0,2010-01-11 14:04:00,2,255.20000000000002
36,12408.0,2010-07-29 13:27:00,3,321.8
37,12409.0,2010-05-23 15:21:00,3,1354.06
38,12410.0,2010-07-25 13:26:00,1,97.0
39,12411.0,2010-10-26 09:25:00,1,91.5
40,12412.0,2010-06-18 13:22:00,3,125.0
41,12413.0,2010-11-02 13:26:00,1,134.39999999999998
42,12414.0,2010-09-02 12:22:00,3,300.0
43,12415.0,2010-06-30 08:30:00,5,3635.65
44,12417.0,2009-12-06 10:30:00,10,1242.61
45,12418.0,2010-03-19 14:47:00,3,101.45
46,12419.0,2010-10-22 10:40:00,2,228.7
47,12421.0,2010-07-22 13:57:00,2,88.85
48,12422.0,2010-05-06 10:08:00,9,1667.0
49,12423.0,2010-08-31 09:31:00,2,96.0
50,12424.0,2010-06-09 15:15:00,2,111.70000000000002
51,12425.0,2010-09-17 14:10:00,1,15.9
52,12426.0,2010-02-15 08:41:00,1,103.8
53,12427.0,2010-12-03 10:44:00,1,183.2
54,12429.0,2010-06-11 13:28:00,2,616.1
55,12431.0,2010-01-15 09:04:00,8,616.45
56,12433.0,2010-11-05 08:27:00,3,301.09999999999997
57,12434.0,2010-11-23 13:38:00,1,57.65
58,12435.0,2010-03-12 14:50:00,3,1280.2000000000003
59,12437.0,2009-12-02 16:24:00,20,1429.35
60,12439.0,2009-12-14 08:40:00,1,94.6
61,12440.0,2009-12-22 12:03:00,2,239.3
62,12441.0,2010-12-08 10:45:00,1,18.0
