,customer_id,first_order_date,total_orders,total_revenue
0,12346.0,2009-12-14 08:34:00,11,372.86
1,12347.0,2010-10-31 14:20:00,2,1224.17
2,12348.0,2010-09-27 14:59:00,1,222.16
3,12349.0,2010-04-29 13:20:00,2,1635.8899999999999
4,12351.0,2010-11-29 15:23:00,1,288.18
5,12352.0,2010-11-12 10:20:00,2,331.05
6,12353.0,2010-10-27 12:44:00,1,317.76
7,12355.0,2010-05-21 11:59:00,1,437.11
8,12356.0,2010-10-11 09:42:00,3,854.8199999999999
9,12357.0,2010-11-16 10:05:00,1,3227.08
10,12358.0,2009-12-08 07:59:00,3,1115.71
11,12359.0,2009-12-05 13:32:00,6,1702.7600000000002
12,12360.0,2010-02-22 09:32:00,3,1218.79
13,12361.0,2010-01-26 14:37:00,3,276.35
14,12368.0,2010-03-21 15:56:00,1,371.5
15,12369.0,2010-03-08 08:09:00,3,1280.13
16,12370.0,2010-02-09 09:41:00,3,474.92
17,12371.0,2010-03-04 18:23:00,3,1787.6200000000001
18,12373.0,2010-02-04 12:08:00,2,534.05
19,12374.0,2010-04-30 14:01:00,2,1369.0500000000002
20,12376.0,2010-10-18 08:42:00,1,112.55
21,12377.0,2010-04-29 15:34:00,2,1421.32
22,12378.0,2010-05-26 14:07:00,1,1076.57
23,12379.0,2010-06-23 12:49:00,2,673.0799999999999
24,12380.0,2010-02-15 12:05:00,4,3494.8199999999997
25,12385.0,2010-11-25 15:14:00,1,1359.1
26,12386.0,2010-12-08 09:53:00,1,215.7
27,12387.0,2010-10-20 16:27:00,1,110.03999999999999
28,12388.0,2010-05-06 12:54:00,2,1089.85
29,12389.0,2010-02-22 10:15:00,3,1209.4299999999998
30,12391.0,2010-02-15 10:12:00,4,1511.13
31,12392.0,2010-04-27 14:04:00,1,196.95000000000002
32,12393.0,2010-10-07 13:49:00,2,684.2
33,12395.0,2010-04-16 10:16:00,4,1455.54
34,12396.0,2010-02-03 13:22:00,1,883.58
35,12399.0,2010-03-05 08:45:00,3,564.69
36,12400.0,2010-10-21 13:45:00,1,205.25
37,12402.0,2010-02-07 12:41:00,5,928.55
38,12403.0,2010-07-06 11:39:00,1,67.5
39,12406.0,2010-01-11 14:04:00,3,1768.42
40,12408.0,2010-07-29 13:27:00,3,858.44
41,12409.0,2010-05-23 15:21:00,2,2601.7200000000003
42,12410.0,2010-07-25 13:26:00,1,223.38
43,12411.0,2010-10-26 09:25:00,1,255.4
44,12412.0,2010-06-18 13:22:00,3,988.79
45,12413.0,2010-11-02 13:26:00,1,106.95
46,12414.0,2010-09-02 12:22:00,1,74.88
47,12415.0,2010-06-30 08:30:00,4,2486.3500000000004
48,12416.0,2010-02-21 10:19:00,1,202.56
49,12417.0,2009-12-06 10:30:00,11,1842.04
50,12418.0,2010-03-19 14:47:00,3,1237.25
51,12419.0,2010-10-22 10:40:00,2,274.31000000000006
52,12421.0,2010-07-22 13:57:00,2,202.70999999999998
53,12422.0,2009-12-18 12:44:00,9,1749.34
54,12423.0,2010-08-31 09:31:00,2,643.6800000000001
